EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
582|5.294912|0.179648|4.462688|2.306272
583|5.294912|0.187296|4.297376|2.314272
584|5.294912|0.177344|4.156032|2.320960
585|5.294912|0.176736|4.291936|2.312064
586|5.294912|0.180736|4.428192|2.319424
587|5.294912|0.175776|4.107136|2.319168
588|5.294912|0.179584|4.394176|2.310912
589|5.294912|0.173568|4.306112|2.323392
590|5.294912|0.180128|4.275584|2.337184
591|5.294912|0.177024|4.290016|2.318112
592|5.294912|0.179136|4.329408|2.309856
593|5.294912|0.180512|4.441536|2.313056
594|5.294912|0.178144|4.406464|2.324768
595|5.294912|0.180928|4.345440|2.305632
596|5.294912|0.179872|4.298080|2.321184
597|5.294912|0.178080|4.372352|2.336672
598|5.294912|0.178528|4.317824|2.310464
599|5.294912|0.175872|4.095008|2.351296
600|5.294912|0.173792|4.239360|2.322016
601|5.294912|0.177920|4.243008|2.331424
602|5.294912|0.175520|4.152000|2.317408
603|5.294912|0.172768|4.208448|2.316032
604|5.294912|0.177792|4.399488|2.307136
605|5.294912|0.176288|4.305952|2.312352
606|5.294912|0.178432|4.248864|2.315584
607|5.294912|0.176768|4.089184|2.306016
608|5.294912|0.175904|4.157024|2.324192
609|5.294912|0.182016|4.276192|2.314240
610|5.294912|0.177920|4.332416|2.309376
611|5.294912|0.170400|4.084928|2.315712
612|5.294912|0.176544|4.143136|2.327840
613|5.294912|0.178208|4.318304|2.322272
614|5.294912|0.173280|4.194816|2.330496
615|5.294912|0.179392|4.300032|2.316480
616|5.294912|0.181152|4.499264|2.318112
617|5.294912|0.175424|4.073248|2.303712
618|5.294912|0.176608|4.249920|2.346592
